intensity	N	NNE	NE	ENE	E	ESE	SE	SSE	S	SSW	SW	WSW	W	WNW	NW	NNW	CALM
CALM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009966667
1-3	0.0174	0.015166667	0.015533333	0.013366667	0.0144	0.0155	0.0171	0.015933333	0.015233333	0.014266667	0.0157	0.017733333	0.020333333	0.020833333	0.020933333	0.018833333	0
4-7	0.025733333	0.0171	0.0163	0.012966667	0.014733333	0.0184	0.0246	0.0219	0.019033333	0.018333333	0.021633333	0.028733333	0.0325	0.033	0.034133333	0.03	0
8-12	0.013033333	0.008066667	0.005033333	0.003166667	0.002766667	0.0039	0.0066	0.008	0.010333333	0.016733333	0.021933333	0.025566667	0.023133333	0.024466667	0.023266667	0.0154	0
13-18	0.0034	0.0035	0.001766667	0.000433333	0.000133333	0.0001	0.000666667	0.001333333	0.003066667	0.0085	0.015133333	0.014033333	0.0107	0.013233333	0.0127	0.004466667	0
19-24	0.0007	0.001366667	0.000533333	3.33333E-05	0	0	0	0.0001	0.000533333	0.002466667	0.0066	0.006333333	0.0037	0.0044	0.0044	0.000666667	0
25-31	0.000166667	0.0005	0.000266667	3.33333E-05	0	0	0	3.33333E-05	0.0001	0.000766667	0.003066667	0.0025	0.001033333	0.001066667	0.0008	0	0
32-38	3.33333E-05	0.0002	0.000133333	0	0	0	0	0	3.33333E-05	0.0002	0.0012	0.000733333	0.000133333	6.66667E-05	0	0	0
39-46	0	0.0001	6.66667E-05	0	0	0	0	0	0	0.0001	0.000633333	0.0003	3.33333E-05	0	0	0	0
>46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
